trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
41,1000,1,0.012747,0.016238,0.020566,0.016936,-0.001894,0.002262,-0.006866,0.002225,-0.001134,0.002733,-0.006332,-0.002176,-0.009581,nan,-0.002845,0.005956,-0.016786,nan,-0.017183,-0.031554
42,1000,1,nan,0.017516,nan,0.031254,0.003455,-0.006195,0.004997,0.002462,-0.004855,-0.002102,-0.010500,-0.009467,0.001666,-0.001970,-0.003779,0.001835,-0.015267,-0.017582,-0.035863,-0.019524
43,1000,1,0.024156,0.019063,0.017450,0.015469,0.004680,-0.007918,0.005922,0.003495,-0.001768,-0.000226,0.002655,-0.001416,0.000898,0.001622,nan,0.001165,-0.006471,nan,-0.027355,-0.032525
44,1000,1,0.037433,0.024631,0.022520,nan,-0.003567,0.005647,0.007197,-0.006231,-0.000362,-0.000286,0.009338,0.005601,-0.007836,nan,0.009339,-0.001260,-0.019551,-0.021991,-0.006772,-0.017208
45,1000,1,0.016625,0.009367,0.021524,0.018441,-0.003812,-0.009842,-0.005924,0.015363,-0.004379,0.007575,-0.002166,nan,-0.002531,-0.003555,0.013484,-0.000530,-0.013669,-0.011652,-0.012072,nan
46,1000,1,0.018240,0.021749,0.032242,0.015455,-0.004627,-0.001961,-0.000999,-0.003637,-0.004384,0.000102,nan,0.008750,-0.008130,0.005170,0.000994,-0.001073,-0.027790,-0.024469,-0.023255,nan
47,1000,1,0.015266,0.004329,0.022976,0.014867,0.009989,-0.011718,-0.000524,-0.002759,-0.009017,0.008420,-0.006372,0.003971,0.006243,nan,-0.001007,nan,-0.012164,-0.023850,-0.017629,-0.025248
48,1000,1,0.022607,0.015664,0.022717,0.016026,nan,0.004905,0.001021,-0.000484,0.003709,-0.001042,0.001647,0.000089,0.010354,0.010215,nan,0.003867,-0.020036,-0.007021,-0.036396,-0.025452
49,1000,1,0.019589,0.019706,nan,0.018030,0.001263,0.000584,-0.004015,0.004613,0.000677,0.004310,-0.000194,-0.007273,0.004578,-0.009926,0.000090,-0.000454,-0.020876,-0.018608,-0.025143,nan
50,1000,1,0.015932,nan,0.012664,0.012586,nan,-0.001305,0.003527,0.001038,-0.000040,-0.006881,-0.003991,0.000500,0.002797,-0.003656,-0.000958,0.000865,-0.018771,-0.015362,-0.017704,-0.021688
51,1000,1,0.019105,0.019433,0.021379,0.016514,0.008647,0.006470,nan,0.000478,-0.003250,-0.010406,nan,0.001332,-0.003636,0.008169,-0.014401,-0.001825,-0.011128,-0.014098,-0.032269,-0.016567
52,1000,1,0.026850,0.013555,0.025952,0.015344,0.007664,0.003731,nan,nan,0.004894,-0.002772,-0.006074,-0.014663,-0.001268,0.009592,-0.001690,0.003060,-0.019963,-0.017183,-0.016399,-0.012750
53,1000,1,0.021478,0.023499,nan,0.018393,-0.006568,0.002551,0.002442,0.002419,0.007258,0.000114,-0.008480,0.006308,nan,0.004590,-0.017646,0.000002,-0.025146,-0.022484,-0.010726,-0.020625
54,1000,1,0.018300,0.016477,0.024746,0.023716,0.004792,0.009868,-0.004948,nan,nan,-0.006592,-0.001840,0.003131,-0.005751,0.002629,-0.002033,0.000178,-0.017661,-0.014672,-0.013754,-0.013650
55,1000,1,0.013426,0.023519,0.013983,0.016971,-0.021191,0.001200,nan,-0.005543,0.009043,0.001246,-0.001705,0.018780,-0.002655,-0.001153,-0.004325,0.006145,-0.019546,-0.013741,-0.013412,nan
56,1000,1,0.010758,0.019377,nan,nan,-0.003707,0.002250,-0.004105,0.000730,-0.002608,-0.003488,-0.002462,-0.001776,-0.006657,-0.005184,-0.006144,0.001293,-0.024018,-0.025594,-0.019375,-0.014115
57,1000,1,nan,0.020183,0.021790,0.016042,-0.002088,-0.002569,-0.002814,-0.000831,0.003868,0.006601,-0.005409,-0.015723,0.003122,0.006733,-0.001889,nan,-0.014115,-0.027277,-0.025657,-0.012802
58,1000,1,0.026935,0.014586,0.026055,0.020001,-0.007612,nan,0.011431,0.002715,0.001639,-0.001952,0.008971,0.000621,-0.000881,-0.001773,-0.008231,0.002845,-0.015016,-0.018515,nan,-0.010251
59,1000,1,0.014005,0.015062,0.029988,0.009854,0.001808,-0.001892,0.008062,0.005652,0.004904,-0.014013,-0.001686,nan,-0.006100,-0.009625,-0.005626,-0.001147,nan,-0.013866,-0.016864,-0.017313
60,1000,1,0.026983,0.013649,0.027509,nan,0.006814,0.003322,0.003318,0.010195,-0.001393,0.000595,-0.009382,-0.001449,nan,-0.002443,0.011353,-0.007443,-0.031972,-0.019052,-0.009756,-0.010546
61,1000,1,0.020000,0.024937,0.006442,nan,-0.002458,0.002926,0.006985,0.005576,-0.004026,-0.002079,-0.003711,0.000453,-0.011370,nan,0.000981,0.000307,-0.013478,-0.025367,-0.015121,-0.019533
62,1000,1,0.026587,0.014783,0.011240,nan,0.009352,0.001627,-0.000091,-0.007532,-0.004823,0.006559,-0.005795,0.001331,0.002834,0.000875,nan,0.004887,-0.013486,-0.028721,-0.010623,-0.023127
63,1000,1,0.018760,nan,0.016890,0.016212,-0.016241,0.002860,-0.003740,-0.002737,0.008689,-0.001263,-0.003036,-0.006700,0.008762,0.002775,0.004257,-0.002203,nan,-0.021826,-0.027220,-0.027050
64,1000,1,0.019240,0.010752,0.021652,0.018531,-0.000714,0.008557,-0.003246,nan,0.002445,-0.002152,0.002577,-0.001840,0.006234,-0.001027,0.004266,0.001502,-0.013606,-0.012111,nan,-0.013136
65,1000,1,0.014972,0.018540,0.019088,0.023323,0.001816,0.000655,0.007043,nan,0.003621,-0.000575,-0.000353,-0.004358,-0.003160,-0.001444,-0.003101,nan,-0.017400,-0.017759,-0.022984,-0.021382
66,1000,1,nan,0.018527,0.010107,0.028326,-0.002945,-0.004019,0.004250,-0.000346,-0.006381,0.003949,nan,0.006211,0.003847,-0.007793,0.004916,0.004692,-0.015768,-0.020895,-0.015869,-0.028997
67,1000,1,0.010715,nan,0.021745,0.026350,0.012309,-0.007217,0.004504,0.007291,-0.008156,0.000869,0.003219,0.007501,nan,0.002517,-0.001414,0.002512,-0.027360,-0.020613,-0.016794,-0.013855
