trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
60,1000,1,0.023021,0.014628,0.012067,0.009749,-0.002666,-0.000387,-0.002233,-0.003497,0.000154,0.002905,-0.000441,-0.003737,-0.002043,0.006207,-0.016152,-0.020194,-0.019605,-0.021670
61,1000,1,0.018047,0.013597,0.022782,0.015622,-0.002728,-0.001596,0.005002,0.000182,-0.000225,0.003067,0.000179,0.000333,0.003152,0.001452,-0.023601,-0.029617,-0.022744,-0.021119
62,1000,1,0.020200,0.015691,0.020511,0.022077,-0.000922,0.001584,-0.004441,-0.001462,-0.000242,0.004186,-0.000778,0.004127,-0.002951,-0.005349,-0.022348,-0.027052,-0.007399,-0.023541
63,1000,1,0.016089,0.015430,0.022444,0.009281,0.001370,-0.001782,0.003828,0.001428,-0.004347,-0.000140,0.002180,0.005640,0.000211,0.000873,-0.015944,-0.023359,-0.021172,-0.027657
64,1000,1,0.015240,0.026006,0.014667,0.012402,-0.005073,-0.001208,-0.003328,0.003652,0.000462,0.000906,-0.003510,-0.000151,0.018845,-0.002323,-0.011942,-0.014155,-0.013910,-0.012920
65,1000,1,0.027004,0.018256,0.016674,0.027110,0.002890,0.002950,-0.003746,0.007522,-0.001296,-0.003683,0.005518,-0.001307,0.000051,0.002935,-0.026942,-0.028814,-0.021583,-0.024733
66,1000,1,0.019084,0.018506,0.018326,0.017486,0.000122,0.000795,-0.002901,-0.003536,-0.002042,0.003201,-0.001373,-0.000881,-0.000918,-0.004092,-0.018082,-0.018517,-0.019305,-0.015408
67,1000,1,0.026684,0.021627,0.018482,0.016364,0.000164,-0.004152,0.002764,0.003288,0.003025,0.001514,0.001374,-0.000029,-0.008667,0.002757,-0.024930,-0.022995,-0.027796,-0.029244
68,1000,1,0.013426,0.015209,0.019379,0.015660,-0.005523,0.000042,-0.011199,0.006846,0.000359,-0.004997,-0.004405,-0.002280,0.003211,-0.001076,-0.016930,-0.020527,-0.012656,-0.013813
69,1000,1,0.020874,0.024531,0.024797,0.021000,-0.002488,-0.000946,-0.000720,0.000893,0.000182,-0.003173,-0.001260,0.008259,-0.004096,0.000113,-0.015028,-0.019834,-0.031739,-0.016369
70,1000,1,0.014760,0.018441,0.027661,0.018770,0.002156,0.001750,-0.003113,0.004031,-0.008653,0.000967,0.001483,0.003674,0.003877,0.001433,-0.015611,-0.012167,-0.012418,-0.032238
71,1000,1,0.019411,0.017933,0.017579,0.014285,0.000107,-0.001976,-0.001927,0.002976,0.004609,-0.002505,-0.004159,0.000917,-0.003528,-0.002678,-0.014030,-0.020309,-0.015283,-0.021498
72,1000,1,0.019686,0.019986,0.021167,0.021328,-0.001803,0.000732,0.001624,-0.002929,-0.001243,-0.001218,0.015008,-0.002356,0.001051,-0.007474,-0.018797,-0.019302,-0.022893,-0.009642
73,1000,1,0.019749,0.017192,0.017302,0.019749,0.001312,-0.004431,-0.004628,0.004837,-0.001700,0.010998,0.000689,0.002188,-0.005074,0.002936,-0.019106,-0.022946,-0.016795,-0.027008
74,1000,1,0.014155,0.014616,0.020038,0.020764,0.000490,-0.000104,-0.005824,0.003719,0.000853,-0.003807,0.001247,-0.007732,0.004178,-0.000138,-0.020514,-0.017484,-0.016742,-0.020771
75,1000,1,0.021251,0.025748,0.016266,0.019220,0.000789,-0.002303,0.002029,0.000591,-0.003474,-0.002180,0.000020,0.005743,0.002360,0.004088,-0.010379,-0.014337,-0.015558,-0.017035
76,1000,1,0.018600,0.014057,0.023318,0.016268,0.006808,0.003156,-0.004898,-0.000951,0.001294,-0.002881,-0.000098,-0.000546,-0.003703,-0.004087,-0.010099,-0.014066,-0.018091,-0.033204
77,1000,1,0.017366,0.017387,0.020006,0.025788,-0.001564,-0.001752,-0.002893,-0.002614,-0.009885,0.001075,0.001492,0.000305,0.003260,-0.001642,-0.021134,-0.016933,-0.023978,-0.011838
78,1000,1,0.016229,0.022689,0.021113,0.024542,0.003125,0.002517,0.003236,0.001610,-0.001094,0.004268,0.001954,-0.011665,-0.002921,0.000582,-0.028836,-0.016418,-0.021234,-0.013880
79,1000,1,0.017891,0.026961,0.015483,0.021036,-0.004752,0.006361,0.003180,0.002355,-0.000134,0.002488,0.004927,0.006293,0.001851,0.002741,-0.016331,-0.018291,-0.011403,-0.018645
80,1000,1,0.023723,0.023919,0.025247,0.019101,0.001827,0.004354,0.006095,-0.004191,-0.000950,0.001075,-0.001660,-0.003910,-0.000369,0.000554,-0.022811,-0.017122,-0.025979,-0.024325
81,1000,1,0.023184,0.033394,0.014559,0.016583,0.003119,-0.000918,-0.000989,0.004976,0.001851,0.003332,-0.000308,0.004285,0.000140,-0.002407,-0.026923,-0.019400,-0.027033,-0.017120
82,1000,1,0.013737,0.017950,0.027459,0.016561,-0.000519,-0.008969,-0.000922,0.001676,0.000825,0.003850,-0.011696,-0.002894,0.003557,-0.004570,-0.017280,-0.014169,-0.015773,-0.015287
83,1000,1,0.028363,0.018792,0.016625,0.017352,-0.007656,0.004723,0.001372,0.005376,-0.003388,-0.001829,-0.004724,-0.003230,0.000286,-0.003059,-0.016500,-0.021258,-0.019851,-0.017610
84,1000,1,0.016353,0.018544,0.019951,0.022488,-0.004554,0.005090,-0.000706,0.001131,-0.005421,-0.000803,0.001918,0.004454,0.002409,-0.000099,-0.018336,-0.006835,-0.018779,-0.014215
85,1000,1,0.022253,0.017675,0.016616,0.026116,-0.003362,-0.001519,-0.000221,0.002716,-0.001382,-0.002314,0.004582,-0.000952,0.000490,-0.001001,-0.015230,-0.020824,-0.022029,-0.013825
86,1000,1,0.028060,0.022062,0.021680,0.016278,-0.000770,0.005779,-0.000944,-0.004117,-0.000574,-0.001219,0.000728,-0.002697,-0.002887,-0.004549,-0.023649,-0.026160,-0.023120,-0.017164
87,1000,1,0.013302,0.014235,0.026585,0.006136,0.005896,0.006243,-0.005720,0.002450,0.004906,-0.000881,0.001042,0.003273,-0.001322,-0.006800,-0.015671,-0.027477,-0.016387,-0.012544
88,1000,1,0.016538,0.018329,0.024572,0.011237,0.008906,0.001750,-0.005416,0.001215,0.001160,-0.003058,0.000895,-0.004035,0.004380,-0.008938,-0.015849,-0.018524,-0.017356,-0.041840
89,1000,1,0.024235,0.019331,0.017426,0.017042,-0.005595,0.000082,0.002065,-0.001523,-0.003852,-0.002450,-0.001260,-0.002792,-0.003738,-0.002358,-0.017881,-0.015564,-0.028234,-0.022432
90,1000,1,0.018584,0.027265,0.022131,0.026540,0.000047,0.002153,0.001602,0.002877,0.000835,-0.002802,0.000854,0.002357,-0.000145,-0.002964,-0.030027,-0.017382,-0.012681,-0.024761
91,1000,1,0.021601,0.020806,0.019490,0.019051,0.000694,0.003005,-0.006452,-0.004129,0.004219,-0.005504,0.001344,0.000870,-0.000235,-0.005951,-0.016180,-0.009867,-0.018621,-0.018779
92,1000,1,0.015185,0.024735,0.030003,0.018996,-0.002743,-0.001246,-0.001627,0.000357,-0.001512,-0.003320,-0.000301,0.002462,-0.001649,0.002587,-0.012787,-0.030644,-0.018086,-0.016008
93,1000,1,0.020835,0.017553,0.019804,0.020527,-0.001499,-0.001634,-0.000089,0.002123,-0.001542,0.002663,-0.005920,-0.000859,0.000992,-0.001110,-0.020371,-0.011315,-0.019617,-0.034313
94,1000,1,0.022651,0.013811,0.014703,0.026536,0.003151,-0.001126,0.001182,-0.000057,0.004943,-0.012507,-0.002578,-0.000997,0.003971,-0.005544,-0.016911,-0.025326,-0.021063,-0.017603
95,1000,1,0.015965,0.009499,0.011921,0.017594,0.006613,-0.007747,0.003972,-0.000591,0.006615,0.000291,0.006402,0.000931,-0.003338,0.004933,-0.019990,-0.017877,-0.020683,-0.008195
96,1000,1,0.015542,0.013402,0.014737,0.017705,0.005975,0.003660,0.002422,0.001825,0.000575,0.000642,0.004788,-0.001590,0.000302,0.001138,-0.014178,-0.017912,-0.021976,-0.020923
97,1000,1,0.011354,0.020705,0.014497,0.015503,-0.005512,-0.002234,0.004686,-0.000080,-0.003495,0.000912,0.001250,0.000521,0.000884,0.000810,-0.019203,-0.023182,-0.019572,-0.021181
98,1000,1,0.016951,0.012697,0.024944,0.024998,0.000172,0.001224,-0.002043,0.003089,0.002116,0.006302,0.001434,0.001687,-0.000128,0.000746,-0.012697,-0.014331,-0.021037,-0.017260
99,1000,1,0.009104,0.015836,0.024740,0.017852,0.005625,-0.002738,0.005049,-0.003678,-0.000963,-0.004499,0.001523,-0.002027,0.000151,-0.000589,-0.013422,-0.012771,-0.015609,-0.019246
