trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
55,1000,1,0.015326,0.018185,0.013837,0.017872,-0.000774,-0.005201,0.000015,-0.001098,0.004864,-0.000635,0.002452,-0.003593,-0.010914,-0.004790,-0.017034,-0.016720,-0.021834,-0.015529
56,1000,1,0.015091,0.020347,0.023792,0.018003,0.000215,-0.002432,0.001487,-0.003902,0.003152,0.000425,0.000163,0.001353,0.003012,-0.014627,-0.027092,-0.016691,-0.021274,-0.031688
57,1000,1,0.024389,0.010961,0.023132,0.021204,0.002054,-0.001819,-0.002569,-0.000784,0.003327,-0.000190,0.001551,0.000670,0.004550,0.000133,-0.023930,-0.021567,-0.011659,-0.032029
58,1000,1,0.022927,0.021587,0.016774,0.021379,0.001114,0.000322,0.001061,0.003679,-0.003766,0.000799,-0.001529,0.002421,-0.003843,-0.001218,-0.010876,-0.015813,-0.017950,-0.025261
59,1000,1,0.019100,0.022964,0.015325,0.013709,-0.003326,-0.005322,-0.005994,0.000413,-0.005060,-0.001874,-0.001017,0.002574,-0.002168,-0.001939,-0.021881,-0.015191,-0.019019,-0.020576
60,1000,1,0.028597,0.011113,0.013473,0.012189,-0.001195,-0.001801,-0.000759,0.001039,0.001295,-0.002291,-0.003235,-0.002588,-0.002343,0.004786,-0.019368,-0.022228,-0.023090,-0.018939
61,1000,1,0.019011,0.015841,0.032598,0.017534,-0.004614,-0.001275,0.006907,-0.000375,-0.001132,0.003056,-0.000971,0.000971,0.001308,0.000016,-0.017648,-0.022474,-0.022203,-0.019455
62,1000,1,0.018746,0.017787,0.022533,0.020289,-0.000904,0.001534,-0.003759,-0.001402,-0.001553,0.003229,0.001799,0.000193,-0.005334,-0.004036,-0.017662,-0.019869,-0.015324,-0.021176
63,1000,1,0.015859,0.015164,0.022087,0.012303,-0.000823,0.001508,0.002632,0.003727,-0.002569,0.001947,-0.000167,0.003912,-0.000292,-0.000736,-0.014860,-0.024872,-0.020853,-0.027120
64,1000,1,0.012982,0.022408,0.014186,0.014482,-0.001446,-0.006571,-0.001690,0.003635,-0.002512,-0.000373,-0.005613,-0.000328,0.006496,-0.002222,-0.014470,-0.013711,-0.016691,-0.013727
65,1000,1,0.023132,0.016102,0.018247,0.024063,0.003202,0.001510,-0.000118,0.006559,-0.001946,-0.001604,0.003024,-0.003463,0.000877,-0.001226,-0.022006,-0.026135,-0.019425,-0.020708
66,1000,1,0.022297,0.019828,0.017506,0.019235,0.001247,0.003242,-0.005505,-0.002483,-0.004122,0.003264,-0.002139,-0.002134,0.001161,0.001123,-0.017639,-0.019311,-0.018392,-0.015518
67,1000,1,0.024725,0.020022,0.020859,0.018647,-0.000442,-0.003443,0.000972,0.002316,0.002882,0.003068,-0.000333,0.001045,-0.009711,0.006325,-0.022716,-0.024857,-0.029497,-0.023221
68,1000,1,0.015283,0.018489,0.019648,0.012046,-0.006806,-0.001581,-0.006055,0.005511,0.000117,-0.003839,-0.003743,-0.000576,0.003993,0.001206,-0.017806,-0.022965,-0.014551,-0.018629
69,1000,1,0.019917,0.022443,0.023131,0.018317,0.001592,-0.000407,-0.000997,0.001261,0.000828,-0.005706,-0.000712,0.007821,-0.002670,-0.000501,-0.018947,-0.018667,-0.036412,-0.019679
70,1000,1,0.017870,0.016534,0.025203,0.015036,0.001848,-0.000163,-0.001449,0.001926,-0.009139,0.001748,0.003898,0.003403,0.001250,0.001639,-0.018191,-0.010658,-0.015617,-0.027295
71,1000,1,0.017842,0.018760,0.019480,0.016436,0.001309,-0.001305,-0.000429,0.000251,0.000312,-0.002122,-0.001565,0.000078,-0.001345,-0.000349,-0.014084,-0.020495,-0.016042,-0.018605
72,1000,1,0.018526,0.018597,0.022874,0.017611,-0.001122,-0.003341,-0.000621,-0.002629,0.000773,-0.003467,0.011641,0.001617,0.001586,-0.004394,-0.012269,-0.019662,-0.023472,-0.016285
73,1000,1,0.021908,0.020325,0.019245,0.019046,-0.002045,-0.002384,-0.002767,0.003676,-0.002988,0.008232,0.000976,0.001257,-0.000127,0.000010,-0.024045,-0.024139,-0.015366,-0.019331
74,1000,1,0.013937,0.015282,0.023294,0.016679,0.001063,0.001385,-0.003734,0.001836,0.001483,-0.000494,0.000778,-0.006153,0.002369,-0.002361,-0.024393,-0.021078,-0.013606,-0.023971
75,1000,1,0.022326,0.017449,0.020814,0.021971,0.000170,-0.004881,-0.002460,0.000899,-0.001026,-0.000653,-0.001990,0.005603,0.000252,0.002077,-0.014557,-0.013803,-0.018096,-0.013516
76,1000,1,0.024762,0.015025,0.019394,0.015299,0.004194,0.000902,-0.004894,-0.001601,0.002159,-0.003621,0.000400,-0.001597,-0.003377,-0.001676,-0.014072,-0.019041,-0.020026,-0.024242
77,1000,1,0.016997,0.017286,0.016557,0.021652,-0.002493,-0.001356,-0.003225,-0.002444,-0.007535,0.002234,0.000015,0.002825,0.002409,-0.001825,-0.018669,-0.017581,-0.020317,-0.011246
78,1000,1,0.013675,0.020469,0.023352,0.024804,0.004429,0.003424,0.002276,0.001639,-0.001719,0.001851,0.003541,-0.010013,-0.001467,0.000836,-0.024160,-0.019908,-0.020461,-0.009791
79,1000,1,0.016358,0.029843,0.014579,0.018388,-0.002808,0.005976,0.000880,0.003187,-0.000141,0.001263,0.003093,0.001468,-0.001185,0.001377,-0.025526,-0.015411,-0.017717,-0.017660
80,1000,1,0.023629,0.020317,0.020497,0.019262,-0.002391,0.007652,0.004123,-0.004093,-0.000556,0.000464,0.002196,-0.004730,-0.001659,0.001085,-0.025125,-0.017549,-0.026768,-0.026641
81,1000,1,0.018914,0.029027,0.013061,0.014828,0.004916,-0.000695,-0.002269,0.004626,-0.001535,0.002726,0.000375,0.003766,-0.001117,-0.002487,-0.021873,-0.019388,-0.022788,-0.018927
82,1000,1,0.010309,0.018378,0.023176,0.013953,-0.000179,-0.005877,-0.002126,0.000851,0.000189,0.001657,-0.005788,-0.000176,0.004710,-0.004559,-0.015411,-0.009943,-0.016095,-0.013187
83,1000,1,0.028690,0.006832,0.019724,0.018277,-0.007729,0.004947,0.002769,0.002986,-0.002387,-0.001355,-0.002478,-0.003962,0.003713,-0.002178,-0.018607,-0.022613,-0.014615,-0.018911
84,1000,1,0.012416,0.019685,0.017579,0.020158,-0.004900,0.007623,-0.000244,0.000799,-0.004300,0.000261,0.002485,0.001997,0.001290,-0.000993,-0.017699,-0.012530,-0.015965,-0.013709
85,1000,1,0.019905,0.014781,0.017305,0.027918,-0.003693,0.001007,0.001086,0.002284,-0.003083,-0.001513,0.002440,-0.003814,0.003359,-0.001781,-0.013892,-0.020609,-0.022315,-0.016550
